product,price,source,timestamp
"Samsung Galaxy Watch Active 2 (Bluetooth) 40mm, Aluminum, Silver (Refurbished)","142,19",amazon,2022-12-25 13:25:26.394236
"Samsung Galaxy Watch5 40 mm Smartwatch, wellness-tracker, fitnesstracker, bluetooth, roze goud [Italiaanse versie], Roze Goud, 40mm, bluetooth","315,81",amazon,2022-12-25 13:25:26.395237
"Samsung Galaxy Watch 5 (40 mm) Bluetooth - Graphite Smartwatch, grijs, 40 mm, modern, grijs, 40 mm, modern, grijs, 40 mm, Modern","308,79",amazon,2022-12-25 13:25:26.395237
"Samsung Galaxy Watch 5 (40 mm) Bluetooth Smartwatch zilver, zilver., 40M, Modern","315,81",amazon,2022-12-25 13:25:26.395237
"Samsung Galaxy Watch 5 (40 mm) Bluetooth Smartwatch zilver, zilver., 40M, Modern","308,79",amazon,2022-12-25 13:25:26.395237
"Samsung Galaxy Smartwatch, Rosé-Goud (Refurbished)","87,00",amazon,2022-12-25 13:25:26.396238
Samsung Galaxy Watch 5 (40mm) LTE - Smartwatch Gold,"273,00",amazon,2022-12-25 13:25:26.396238
Samsung Galaxy Watch 4 Classic (46mm) LTE - Smartwatch Black,"303,99",amazon,2022-12-25 13:25:26.396238
"Samsung Galaxy Watch4 Smartwatch met gezondheidsbewaking, fitnesstracker, lange batterijduur, Bluetooth, 40 mm, zwart (gereviseerd)","231,95",amazon,2022-12-25 13:25:26.396238
Samsung Galaxy Watch 5 (40mm) LTE - Smartwatch Silver,"413,70",amazon,2022-12-25 13:25:26.397428
Smartwatch Samsung Watch 5 R915 LTE Grey,"355,87",amazon,2022-12-25 13:25:26.397428
Samsung Galaxy Watch 5 (44mm) LTE - Smartwatch Blue,"390,41",amazon,2022-12-25 13:25:26.397428
"Samsung R840 Galaxy Watch 3 45 mm BT SM-R840, Black (Refurbished)","106,21",amazon,2022-12-25 13:25:26.397428
"Samsung Galaxy Watch5 Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, 4 G, 40 mm, zilver, 1 jaar garantie [Amazon uitgesloten] - versie FR","352,74",amazon,2022-12-25 13:25:26.398488
"Samsung Galaxy Watch5 Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, Bluetooth, 44 mm, blauw, 1 jaar garantie [Amazon uitgesloten]","332,98",amazon,2022-12-25 13:25:26.398488
"Samsung Galaxy Watch5 Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, 4 G, 40 mm, roségoud, 1 jaar garantie [Amazon uitgesloten] - Franse versie","353,95",amazon,2022-12-25 13:25:27.352815
"Samsung Galaxy Watch5 Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, Bluetooth, 44 mm, zilver, 1 jaar garantie [Amazon uitgesloten] - versie FR","332,99",amazon,2022-12-25 13:25:27.352815
"Samsung Galaxy Watch5 Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, Bluetooth, 40 mm, grafiet, 1 jaar garantie [Amazon uitgesloten] - versie FR","303,36",amazon,2022-12-25 13:25:27.353816
"Samsung Galaxy Watch5 Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, Bluetooth, 40 mm, zilver, 1 jaar garantie [Amazon uitgesloten] - versie FR","303,36",amazon,2022-12-25 13:25:27.353816
"Samsung Galaxy Watch5 Pro Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, Bluetooth, 45 mm, titanium, 1 jaar garantie [Amazon uitgesloten] - Franse versie","473,36",amazon,2022-12-25 13:25:27.354815
"Samsung Galaxy Watch5 Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, 4 G, 44 mm, zilver, 1 jaar garantie [Amazon uitgesloten] - versie FR","383,02",amazon,2022-12-25 13:25:27.354815
"Samsung Galaxy Watch5 Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, Bluetooth, 44 mm, grafiet, 1 jaar garantie [Amazon uitgesloten] - versie FR","332,78",amazon,2022-12-25 13:25:27.354815
"Samsung Galaxy Watch5 Pro Smartwatch, gezondheidsbewaking, sporthorloge, lange batterijduur, Bluetooth, 45 mm, zwart, 1 jaar garantie [Amazon uitgesloten] - versie FR","473,36",amazon,2022-12-25 13:25:27.355815
"Samsung Galaxy Watch 5 (40 mm) Bluetooth - gouden smartwatch, Verde Y Azul Colores, 40mm","305,98",amazon,2022-12-25 13:25:27.355815
"Samsung Galaxy Watch 5 (40 mm) Bluetooth - gouden smartwatch, Verde Y Azul Colores, 40mm","336,86",amazon,2022-12-25 13:25:27.355815
Samsung Galaxy Watch 5 (44mm) Bluetooth - Smartwatch Silver,"287,80",amazon,2022-12-25 13:25:27.356816
Samsung Galaxy Watch 5 (40mm) LTE - Smartwatch Gold,"356,80",amazon,2022-12-25 13:25:27.356997
Samsung Galaxy Watch 5 (44mm) Bluetooth - Smartwatch Blue,"306,05",amazon,2022-12-25 13:25:27.356997
Samsung Galaxy Watch 5 (40mm) LTE - Smartwatch Graphite,"407,04",amazon,2022-12-25 13:25:27.356997
Samsung Galaxy Watch 5 (44mm) LTE - Smartwatch Silver,"527,00",amazon,2022-12-25 13:25:27.358035
"Samsung Galaxy Watch5 Pro, ronde LTE smartwatch, Wear OS, outdoor fitnesshorloge, fitnesstracker, 45 mm, titanium (Duitse versie)","599,49",amazon,2022-12-25 13:25:27.358035
Samsung Galaxy Watch 5 (44mm) LTE - Smartwatch Blue,"470,11",amazon,2022-12-25 13:25:27.358035
"Galaxy Watch3, Black, SM-R840, SmartWatch, 45 mm, EU-goederen (Refurbished)","152,99",amazon,2022-12-25 13:25:27.359035
"Samsung Galaxy Watch4 Classic Smartwatch, zwart, 42 mm, LTE","477,56",amazon,2022-12-25 13:25:27.359035
"Samsung Galaxy Watch4, ronde Bluetooth smartwatch, Wear OS, draaibare lunette, fit-ness-horloge, fitnesstracker, 40 mm, zwart [EU-versie]","214,52",amazon,2022-12-25 13:25:27.359035
Samsung Galaxy Watch 4 Classic (46mm) LTE - Smartwatch Silver,"449,97",amazon,2022-12-25 13:25:27.360036
"Samsung Galaxy Watch4 BT, ronde Bluetooth smartwatch, Wear OS, draaibar-lunette, Fit-nesshorloge, fitnesstracker, 40 mm, roze goud (Duitse versie)","227,99",amazon,2022-12-25 13:25:28.266699
"Samsung Galaxy Watch4 BT, ronde Bluetooth smartwatch, Wear OS, draai-bar lunette, fit-ness-horloge, fitnesstracker, 40 mm, zilver (Duitse versie), zilver, 40 mm, Bluetooth","353,30",amazon,2022-12-25 13:25:28.266699
"Samsung Galaxy Watch4 BT, ronde Bluetooth smartwatch, Wear OS, draaibar-lunette, Fit-nesshorloge, fitnesstracker, 44 mm, groen (Duitse versie)","312,69",amazon,2022-12-25 13:25:28.267832
"Samsung Galaxy Watch4 BT, ronde Bluetooth smartwatch, Wear OS, draaibar-lunette, Fit-nesshorloge, fitnesstracker, 44 mm, groen (Duitse versie)","313,73",amazon,2022-12-25 13:25:28.267832
"Samsung Galaxy Watch4 BT, ronde Bluetooth smartwatch, Wear OS, draai-bar lunette, fit-ness-horloge, fitnesstracker, 44 mm, zilver, zilver, 44 mm, Bluetooth","439,80",amazon,2022-12-25 13:25:28.267832
"Samsung Galaxy Watch4, ronde LTE Smartwatch, Wear OS, draaibare lunette, Fit-Neshorloge, fitnesstracker, 44 mm, zwart","236,12",amazon,2022-12-25 13:25:28.267832
"Samsung Galaxy Watch4 Classic BT, SM-R880NZS, SmartWatch, 42mm, zilver","292,48",amazon,2022-12-25 13:25:28.267832
"Samsung Galaxy Watch4, ronde LTE smartwatch, Wear OS, draaibare lunette, fitnesshorloge, fitnesstracker, 44 mm, groen","228,00",amazon,2022-12-25 13:25:28.268921
"Samsung Galaxy Watch4, ronde LTE smartwatch, Wear OS, draaibar-lunette, Fit-nesshorloge, fitnesstracker, 44 mm, zilver (Duitse versie)","347,99",amazon,2022-12-25 13:25:28.268921
"Samsung Galaxy Watch4 Classic, ronde Bluetooth smartwatch, Wear OS, draaibare lunette, fitnesshorloge, fitnesstracker, 46 mm, zilver (Duitse versie) [EU-versie], zilver, 46mm, Bluetooth","179,00",amazon,2022-12-25 13:25:28.269921
"Samsung Galaxy Watch4 Classic, rond Bluetooth smartwatch, Wear OS, draaibare lunette, fitnesshorloge, fitnesstracker, 46 mm, zwart (Duitse versie)","448,15",amazon,2022-12-25 13:25:28.269921
"Galaxy Watch3, Black, SM-R840, SmartWatch, 45 mm, EU-goederen","354,20",amazon,2022-12-25 13:25:28.269921
Samsung Galaxy Watch 3 roestvrij staal 45 mm Bluetooth Smart Watch - Mystic Black (Versie) (vernieuwd),"244,80",amazon,2022-12-25 13:25:28.270921
"Samsung Galaxy Watch Active2 Bluetooth smartwatch 40 mm van aluminium en sportarmband met GPS, aluminium zilver (gereviseerd)","142,19",amazon,2022-12-25 13:25:28.270921
Samsung Galaxy Watch 4 Classic (42mm) - Smartwatch Black,"174,99",amazon,2022-12-25 13:25:28.270921
Samsung Galaxy Watch 4 Classic (46mm) Bluetooth - Smartwatch Black,"266,20",amazon,2022-12-25 13:25:28.271925
"Samsung Galaxy Watch 4 (44 mm, WiFi, 1,4 inch) zwart","281,20",amazon,2022-12-25 13:25:28.271925
"Samsung Galaxy Watch4 Smartwatch, gezondheidscontrole, sporttracker, lange levensduur van de batterij, 40 mm, LTE, goudkleurig (versie ES)","317,59",amazon,2022-12-25 13:25:28.271925
"Samsung Galaxy Watch4 Classic Smartwatch, draaibare lunette, gezondheidscontrole, sporttracker, Bluetooth, 46 mm, zwart (versie ES)","352,46",amazon,2022-12-25 13:25:28.273036
"Samsung Galaxy Watch4 Smartwatch, gezondheidscontrole, sporttracker, batterij met lange levensduur, 44 mm, LTE, groen (versie ES)","346,77",amazon,2022-12-25 13:25:29.166683
"Samsung Galaxy Watch4 Classic Smartwatch, draaibare lunette, gezondheidscontrole, sporttracker, Bluetooth, 46 mm, zilverkleurig (versie ES)","298,56",amazon,2022-12-25 13:25:29.166683
"Samsung Galaxy Watch4 Smartwatch, gezondheidscontrole, sporttracker, lange levensduur van de batterij, 40 mm, Bluetooth, goudkleurig (versie ES)","195,79",amazon,2022-12-25 13:25:29.167681
"Samsung Galaxy Watch4 Smartwatch, gezondheidscontrole, sporttracker, lange levensduur van de batterij, 40 mm, LTE, zilverkleurig (versie ES)","318,02",amazon,2022-12-25 13:25:29.167681
"Samsung Galaxy Watch4 Smartwatch, gezondheidscontrole, sporttracker, batterij met lange levensduur, 44 mm, LTE, zwart (versie ES)","347,38",amazon,2022-12-25 13:25:29.167681
"Samsung Galaxy Watch4 Smartwatch, gezondheidscontrole, sporttracker, lange batterijduur, 44 mm, Bluetooth, zilverkleurig (versie ES)","275,90",amazon,2022-12-25 13:25:29.168685
"Samsung Galaxy Watch4 Smartwatch, gezondheidscontrole, sporttracker, batterij met lange levensduur, 44 mm, Bluetooth, zwart (versie ES)","250,00",amazon,2022-12-25 13:25:29.168685
"Samsung Galaxy Watch4 Classic Smartwatch, draaibare lunette, gezondheidscontrole, sporttracker, LTE, 42 mm, zwart (versie ES)","416,50",amazon,2022-12-25 13:25:29.168685
"Samsung Galaxy Watch4 Classic Smartwatch, draaibare lunette, gezondheidscontrole, sporttracker, Bluetooth, 42 mm, zilverkleurig (versie ES)","365,86",amazon,2022-12-25 13:25:29.169683
"Samsung Galaxy Watch4 LTE 40 mm Smartwatch, gezondheidsbewaking, fitnesstracker, lange batterijduur, Bluetooth, goud, 2021 [Italiaanse versie]","269,31",amazon,2022-12-25 13:25:29.169683
"Samsung Galaxy Watch4 Classic LTE 46 mm smartwatch van roestvrij staal, draaibaar, wellness-tracker, zwart (zwart), 2021 [Italiaanse versie]","457,96",amazon,2022-12-25 13:25:29.170812
"Samsung Galaxy Watch4 LTE Smartwatch, 40 mm, gezondheidsbewaking, fitnesstracker, lange batterijduur, Bluetooth, zwart, 2021 [Italiaanse versie]","315,30",amazon,2022-12-25 13:25:29.170812
"Samsung Galaxy Watch4 Smartwatch voor gezondheidsbewaking, fitnesstracker, lange batterijduur, 4G, 44 mm, zwart","299,00",amazon,2022-12-25 13:25:29.170812
"SAMSUNG Galaxy Watch Active2 LTE SM-R825FZK, zwart","381,85",amazon,2022-12-25 13:25:29.171897
"SAMSUNG Galaxy Watch Active2 LTE SM-R825FZK, zwart","400,03",amazon,2022-12-25 13:25:29.171897
"Samsung Galaxy Watch4 Classic 4G 42 mm zwart - smartwatch, draaibare lunette gezondheid Wellness Sport IMC, ECG - FR versie","554,26",amazon,2022-12-25 13:25:29.171897
Samsung Galaxy Watch Active 4 44M Bluetooth zilver,"294,68",amazon,2022-12-25 13:25:29.172875
Samsung Galaxy Watch Active 4 44M Bluetooth groen,"309,28",amazon,2022-12-25 13:25:29.172875
"Samsung Galaxy Watch4 Classic 4G 42 mm, zilver, smartwatch, draaibare lunette, gezondheid, wellness, sport, BMI, ECG, Franse versie","436,93",amazon,2022-12-25 13:25:29.172875
"Samsung Galaxy Watch4 4G, 44 mm, zwart – Smart Watch, gezondheidsbewaking, wellness, sport, BMI, ECG, duurzame batterij – Franse versie","343,50",amazon,2022-12-25 13:25:29.173875
Samsung Galaxy Watch 4 Classic (46mm) LTE - Smartwatch Black,"303,99",amazon,2022-12-25 13:25:29.173875
"Samsung Galaxy Watch4 BT Smartwatch, rond, Bluetooth, Wear OS, rosé goud","214,76",amazon,2022-12-25 13:25:29.174874
"Samsung Galaxy Watch4 Smartwatch met gezondheidsbewaking, fitnesstracker, lange batterijduur, Bluetooth, 40 mm, zwart","257,55",amazon,2022-12-25 13:25:30.074747
Samsung Galaxy Watch 4 Classic (46mm) Bluetooth - Smartwatch Black,"310,46",amazon,2022-12-25 13:25:30.075749
"Samsung Galaxy Watch 4 Classic 46 mm smartwatch van roestvrij staal, draaibare lunet, wellness-tracker, fitnesstracker, zilver 2021","380,87",amazon,2022-12-25 13:25:30.075749
"Samsung Galaxy Watch 4 Classic 42 mm smartwatch van roestvrij staal, draaibare lunet, wellness-tracker, fitnesstracker, zilver 2021","222,71",amazon,2022-12-25 13:25:30.075749
Samsung Galaxy Watch 4 Classic (42mm) - Smartwatch Black,"352,46",amazon,2022-12-25 13:25:30.076747
"Galaxy Watch Active 2, zwart, SM-R830, SmartWatch, 40 mm, Bluetooth","241,00",amazon,2022-12-25 13:25:30.076747
Samsung Galaxy Watch 4 Classic (42mm) - Smartwatch Black,"301,77",amazon,2022-12-25 13:25:30.077749
"Samsung Galaxy Watch4 Smart Watch, Gezondheidsmonitoring, Fitness Tracker, Langdurige batterij, 4G, 44 mm, Zilver (Britse versie)","362,13",amazon,2022-12-25 13:25:30.077749
"Samsung Galaxy Watch Active 2, aluminium, 40 mm, LTE, roze goud","339,00",amazon,2022-12-25 13:25:30.078747
